A1CF	Q9NQ94
AAAS	Q9NRG9
AAGAB	Q6PD74
AAK1	Q2M2I8
AAMP	Q13685
AAR2	Q9Y312
AARS	P49588
AARS2	Q5JTZ9
AASDHPPT	Q9NRN7
AATF	Q9NY61
ABCA2	Q9BZC7
ABCB1	P08183
ABCB7	O75027
ABCC1	P33527
ABCC2	Q92887
ABCC4	O15439
ABCC5	O15440
ABCD1	P33897
ABCD3	P28288
ABCE1	P61221
ABCF1	Q8NE71
ABCF2	Q9UG63
ABCF3	Q9NUQ8
ABHD10	Q9NUJ1
ABHD12	Q8N2K0
ABHD14B	Q96IU4
ABLIM1	O14639
ABRACL	Q9P1F3
ABRAXAS2	Q15018
ABT1	Q9ULW3
ACAA2	P42765
ACACA	Q13085
ACADM	P11310
ACADVL	P49748
ACAP1	Q15027
ACAT1	P24752
ACAT2	Q9BWD1
ACBD3	Q9H3P7
ACBD5	Q5T8D3
ACBD6	Q9BR61
ACIN1	Q9UKV3
ACLY	P53396
ACO1	P21399
ACO2	Q99798
ACOT1	Q86TX2
ACOT11	Q8WXI4
ACOT7	O00154
ACP1	P24666
ACP2	P11117
ACP7	Q6ZNF0
ACSL3	O95573
ACSL4	O60488
ACTB	P60709
ACTBL2	Q562R1
ACTC1	P68032
ACTG1	P63261
ACTL6A	O96019
ACTN1	P12814
ACTN4	O43707
ACTR10	Q9NZ32
ACTR1A	P61163
ACTR1B	P42025
ACTR2	P61160
ACTR3	P61158
ACTR5	Q9H9F9
ACVR2B	Q13705
ADAR	P55265
ADARB1	P78563
ADARB2	Q9NS39
ADCK5	Q3MIX3
ADCY3	O60266
ADCY6	O43306
ADD1	P35611
ADD2	P35612
ADD3	Q9UEY8
ADGRL2	O95490
ADH5	P11766
ADI1	Q9BV57
ADK	P55263
ADNP	Q9H2P0
ADNP2	Q6IQ32
ADPRHL2	Q9NX46
ADRB2	P07550
ADRM1	Q16186
ADSL	P30566
ADSS	P30520
AEN	Q8WTP8
AFDN	P55196
AFF4	Q9UHB7
AFP	P02771
AGFG1	P52594
AGL	P35573
AGO1	Q9UL18
AGO2	Q9UKV8
AGO3	Q9H9G7
AGO4	Q9HCK5
AGPS	O00116
AGRN	O00468
AGTPBP1	Q9UPW5
AHCTF1	Q8WYP5
AHCY	P23526
AHCYL1	O43865
AHCYL2	Q96HN2
AHNAK	Q09666
AHNAK2	Q8IVF2
AHSA1	O95433
AIFM1	O95831
AIMP1	Q12904
AIMP2	Q13155
AIP	O00170
AK1	P00568
AK2	P54819
AK4	P27144
AK6	Q9Y3D8
AKAP1	Q92667
AKAP11	Q9UKA4
AKAP12	Q02952
AKAP13	Q12802
AKAP17A	Q02040
AKAP2	Q9Y2D5
AKAP8	O43823
AKAP8L	Q9ULX6
AKAP9	Q99996
AKR1A1	P14550
AKR1B1	P15121
AKR7A2	O43488
AKT1	P31749
AKT1S1	Q96B36
ALB	P02768
