ABCF1	Q8NE71
ADAR	P55265
ADD1	P35611
AGO1	Q9UL18
AGO2	Q9UKV8
AGO3	Q9H9G7
AGO4	Q9HCK5
AHSA1	O95433
AKAP9	Q99996
ALG13	Q9NP73
ANG	P03950
ANKHD1	Q8IWZ3
ANKRD17	O75179
APOBEC3F	Q8IUX4
APOBEC3G	Q9HC16
AQR	O60306
ASCC1	Q8N9N2
ASCC3	Q8N3C0
ATAD3A	Q9NVI7
ATXN2	Q99700
ATXN2L	Q8WWM7
BCCIP	Q9P287
BICC1	Q9H694
BOLL	Q8N9W6
BTG3	Q14201
C19ORF66	Q9NUL5
CALR	P27797
CAPRIN1	Q14444
CASC3	O15234
CCAR1	Q8IX12
CCDC124	Q96CT7
CCHCR1	Q8TD31
CCN1	O00622
CD24	P25063
CDC37	Q16543
CDK1	P06493
CELF1	Q92879
CELF2	O95319
CEP192	Q8TEP8
CEP85	Q6P2H3
CIRBP	Q14011
CNOT1	A5YKK6
CNOT10	Q9H9A5
CNOT11	Q9UKZ1
CNOT2	Q9NZN8
CNOT3	O75175
CNOT4	O95628
CNOT6	Q9ULM6
CNOT6L	Q96LI5
CNOT7	Q9UIV1
CNOT8	Q9UFF9
CNOT9	Q92600
CPEB1	Q9BZB8
CPEB4	Q17RY0
CPVL	Q9H3G5
CSDE1	O75534
CSNK1D	P48730
DAZAP1	Q96EP5
DAZAP2	Q15038
DAZL	Q92904
DCP1A	Q9NPI6
DCP1B	Q8IZD4
DCP2	Q8IU60
DDX1	Q92499
DDX21	Q9NR30
DDX3X	O00571
DDX3Y	O15523
DDX58	O95786
DDX6	P26196
DEF6	Q9H4E7
DHX30	Q7L2E3
DHX33	Q9H6R0
DHX36	Q9H2U1
DHX57	Q6P158
DIS3L	Q8TF46
DROSHA	Q9NRR4
DUSP12	Q9UNI6
DVL3	Q92997
DZIP1	Q86YF9
DZIP3	Q86Y13
EDC3	Q96F86
EDC4	Q6P2E9
EIF2AK2	P19525
EIF3A	Q14152
EIF3B	P55884
EIF3D	O15371
EIF3E	P60228
EIF3G	O75821
EIF3H	O15372
EIF4A1	P60842
EIF4A2	Q14240
EIF4A3	P38919
EIF4B	P23588
EIF4E	P06730
EIF4E2	O60573
EIF4E3	Q8N5X7
EIF4ENIF1	Q9NRA8
EIF4G1	Q04637
EIF4G2	P78344
EIF4G3	O43432
EIF4H	Q15056
EIF5A	P63241
ELAVL1	Q15717
ELAVL2	Q12926
ENDOV	Q8N8Q3
EPRS	P07814
FAM120A	Q9NZB2
FAM120C	Q9NX05
FAM193A	P78312
FAM98A	Q8NCA5
FASTK	Q14296
FBL	P22087
FBRSL1	Q9HCM7
FMR1	Q06787
FNDC3B	Q53EP0
FUBP1	Q96AE4
FUBP3	Q96I24
FUS	P35637
FXR1	P51114
FXR2	P51116
G3BP1	Q13283
G3BP2	Q9UN86
GEMIN5	Q8TEQ6
GIGYF2	Q6Y7W6
GLE1	Q53GS7
GRSF1	Q12849
HABP4	Q5JVS0
HAX1	O00165
HDAC6	Q9UBN7
HELZ	P42694
HNRNPA1	P09651
HNRNPA2B1	P22626
HNRNPA3	P51991
HNRNPAB	Q99729
HNRNPC	P07910
HNRNPDL	O14979
HNRNPK	P61978
HNRNPR	O43390
HNRNPUL1	Q9BUJ2
HSPB1	P04792
HSPD1	P10809
HTT	P42858
IBTK	Q9P2D0
IFIH1	Q9BYX4
IGF2BP1	Q9NZI8
IGF2BP2	Q9Y6M1
IGF2BP3	O00425
ILF3	Q12906
IPO8	O15397
IPPK	Q9H8X2
KARS	Q15046
KHDRBS1	Q07666
KHSRP	Q92945
KIAA0232	Q92628
KIAA0355	O15063
KIF1B	O60333
KPNA1	P52294
KPNA2	P52292
KPNA3	O00505
KPNB1	Q14974
L1RE1	Q9UN81
LARP1B	Q659C4
LARP4	Q71RC2
LARP4B	Q92615
LIN28A	Q9H9Z2
LIN28B	Q6ZN17
LSM1	O15116
LSM12	Q3MHD2
LSM14A	Q8ND56
LSM14B	Q9BX40
LSM2	Q9Y333
LSM3	P62310
LSM4	Q9Y4Z0
LSM5	Q9Y4Y9
LSM6	P62312
LSM7	Q9UK45
LUZP1	Q86V48
MAGED1	Q9Y5V3
MARF1	Q9Y4F3
MARS	P56192
MATR3	P43243
MBNL1	Q9NR56
MBNL2	Q5VZF2
MCRIP1	C9JLW8
MCRIP2	Q9BUT9
METAP2	P50579
MEX3A	A1L020
MEX3B	Q6ZN04
MEX3C	Q5U5Q3
MEX3D	Q86XN8
MKRN2	Q9H000
MOV10	Q9HCE1
MSI1	O43347
MSI2	Q96DH6
MTOR	P42345
MYO5A	Q9Y4I1
N4BP2	Q86UW6
NBDY	A0A0U1RRE5
NCOA3	Q9Y6Q9
NELFE	P18615
NFX1	Q12986
NKRF	O15226
NOL12	Q9UGY1
NOLC1	Q14978
NONO	Q15233
NRG2	O14511
NUFIP2	Q7Z417
NUP205	Q92621
OAS2	P29728
OASL	Q15646
OGG1	O15527
OTUD4	Q01804
PABPC1	P11940
PABPC4	Q13310
PAK4	O96013
PAN2	Q504Q3
PARG	Q86W56
PARK7	Q99497
PARN	O95453
PARP12	Q9H0J9
PARP14	Q460N5
PARP15	Q460N3
PATL1	Q86TB9
PAX1	P15863
PCBP1	Q15365
PCBP2	Q15366
PDCD6	O75340
PEG10	Q86TG7
PFN1	P07737
PIWIL4	Q7Z3Z4
PKP1	Q13835
PKP3	Q9Y446
PNPT1	Q8TCS8
POC1B	Q8TC44
POM121	Q96HA1
PPP1R8	Q12972
PQBP1	O60828
PRKRA	O75569
