ABCF1	Q8NE71
ABRACL	Q9P1F3
ACAP1	Q15027
ACBD5	Q5T8D3
ACTBL2	Q562R1
ACTR1A	P61163
ACTR1B	P42025
ADAR	P55265
ADD1	P35611
AGO1	Q9UL18
AGO2	Q9UKV8
AGO3	Q9H9G7
AGO4	Q9HCK5
AHSA1	O95433
AIFM1	O95831
AKAP13	Q12802
AKAP9	Q99996
ALB	P02768
ALDH18A1	P54886
ALG13	Q9NP73
ALMS1	Q8TCU4
ALYREF	Q86V81
ANG	P03950
ANKHD1	Q8IWZ3
ANKRD17	O75179
ANKRD52	Q8NB46
ANP32E	Q9BTT0
ANXA1	P04083
ANXA11	P50995
ANXA6	P08133
ANXA7	P20073
AP2A1	O95782
AP2B1	P63010
AP2M1	Q96CW1
APC	P25054
APEX1	P27695
APOA1	P02647
APOBEC3C	Q9NRW3
APOBEC3F	Q8IUX4
APOBEC3G	Q9HC16
AQR	O60306
ARG1	P05089
ARHGAP32	A7KAX9
ARMC6	Q6NXE6
ARPC1B	O15143
ASCC1	Q8N9N2
ASCC3	Q8N3C0
ATAD2	Q6PL18
ATAD3A	Q9NVI7
ATG3	Q9NT62
ATP5F1A	P25705
ATP6V1G1	O75348
ATXN2	Q99700
ATXN2L	Q8WWM7
AZGP1	P25311
BAG3	O95817
BANF1	O75531
BAZ1B	Q9UIG0
BCCIP	Q9P287
BCLAF1	Q9NYF8
BICC1	Q9H694
BOLL	Q8N9W6
BRAT1	Q6PJG6
BRIX1	Q8TDN6
BTG3	Q14201
BYSL	Q13895
C19ORF66	Q9NUL5
C1QBP	Q07021
C20ORF27	Q9GZN8
C2CD3	Q4AC94
CALML5	Q9NZT1
CALR	P27797
CAP1	Q01518
CAPRIN1	Q14444
CAPZA2	P47755
CARHSP1	Q9Y2V2
CASC3	O15234
CBFB	Q13951
CBX1	P83916
CCAR1	Q8IX12
CCDC124	Q96CT7
CCDC138	Q96M89
CCDC85C	A6NKD9
CCDC9B	Q6ZUT6
CCHCR1	Q8TD31
CCN1	O00622
CCP110	O43303
CCT3	P49368
CCT6A	P40227
CD24	P25063
CDC37	Q16543
CDC5L	Q99459
CDC73	Q6P1J9
CDK1	P06493
CDV3	Q9UKY7
CELF1	Q92879
CELF2	O95319
CELF3	Q5SZQ8
CENPB	P07199
CEP131	Q9UPN4
CEP152	O94986
CEP192	Q8TEP8
CEP350	Q5VT06
CEP55	Q53EZ4
CEP78	Q5JTW2
CEP85	Q6P2H3
CFL1	P23528
CHCHD3	Q9NX63
CHORDC1	Q9UHD1
CIP2A	Q8TCG1
CIRBP	Q14011
CIT	O14578
CLIC4	Q9Y696
CLNS1A	P54105
CLPP	Q16740
CNN3	Q15417
CNOT1	A5YKK6
CNOT10	Q9H9A5
CNOT11	Q9UKZ1
CNOT2	Q9NZN8
CNOT3	O75175
CNOT4	O95628
CNOT6	Q9ULM6
CNOT6L	Q96LI5
CNOT7	Q9UIV1
CNOT8	Q9UFF9
CNOT9	Q92600
CNTROB	Q8N137
CORO1B	Q9BR76
CPEB1	Q9BZB8
CPEB4	Q17RY0
CPSF3	Q9UKF6
CPSF6	Q16630
CPSF7	Q8N684
CPVL	Q9H3G5
CRKL	P46109
CROCC	Q5TZA2
CRYAB	P02511
CSDE1	O75534
CSE1L	P55060
CSNK1D	P48730
CSPP1	Q1MSJ5
CSTB	P04080
CSTF1	Q05048
CTIF	O43310
CTNNA2	P26232
CTNND1	O60716
CTTNBP2NL	Q9P2B4
CWC22	Q9HCG8
CYLD	Q9NQC7
DAP3	P51398
DAZAP1	Q96EP5
DAZAP2	Q15038
DAZL	Q92904
DCD	P81605
DCP1A	Q9NPI6
DCP1B	Q8IZD4
DCP2	Q8IU60
DCTN1	Q14203
DDX1	Q92499
DDX10	Q13206
DDX18	Q9NVP1
DDX19A	Q9NUU7
DDX20	Q9UHI6
DDX21	Q9NR30
DDX27	Q96GQ7
DDX3X	O00571
DDX3Y	O15523
DDX41	Q9UJV9
DDX47	Q9H0S4
DDX50	Q9BQ39
DDX58	O95786
DDX6	P26196
DEF6	Q9H4E7
DHX15	O43143
DHX30	Q7L2E3
DHX33	Q9H6R0
DHX36	Q9H2U1
DHX57	Q6P158
DHX9	Q08211
DIS3L	Q8TF46
DIS3L2	Q8IYB7
DKC1	O60832
DMKN	Q6E0U4
DNAJA1	P31689
DNAJA2	O60884
DNAJC8	O75937
DPYSL2	Q16555
DPYSL3	Q14195
DROSHA	Q9NRR4
DSC1	Q08554
DSG1	Q02413
DSP	P15924
DST	Q03001
DSTN	P60981
DTX3L	Q8TDB6
DUSP12	Q9UNI6
DVL3	Q92997
DYNLL1	P63167
DYNLL2	Q96FJ2
DZIP1	Q86YF9
DZIP3	Q86Y13
EDC3	Q96F86
EDC4	Q6P2E9
EFTUD2	Q15029
EIF1	P41567
EIF2A	Q9BY44
EIF2AK2	P19525
EIF2S2	P20042
EIF3A	Q14152
EIF3B	P55884
EIF3C	Q99613
EIF3D	O15371
EIF3E	P60228
EIF3F	O00303
EIF3G	O75821
EIF3H	O15372
EIF3I	Q13347
EIF3J	O75822
EIF3K	Q9UBQ5
EIF3L	Q9Y262
EIF3M	Q7L2H7
EIF4A1	P60842
EIF4A2	Q14240
EIF4A3	P38919
EIF4B	P23588
EIF4E	P06730
EIF4E2	O60573
EIF4E3	Q8N5X7
EIF4ENIF1	Q9NRA8
EIF4G1	Q04637
EIF4G2	P78344
EIF4G3	O43432
EIF4H	Q15056
EIF5A	P63241
ELAVL1	Q15717
ELAVL2	Q12926
ELAVL3	Q14576
ELAVL4	P26378
ENDOV	Q8N8Q3
ENTPD1	P49961
ENTR1	Q96C92
EPPK1	P58107
EPRS	P07814
ESRP2	Q9H6T0
ETF1	P62495
FABP5	Q01469
FAM120A	Q9NZB2
FAM120C	Q9NX05
FAM168B	A1KXE4
FAM193A	P78312
FAM98A	Q8NCA5
FASTK	Q14296
FBL	P22087
FBRSL1	Q9HCM7
FHL1	Q13642
FLNB	O75369
FMR1	Q06787
FNDC3B	Q53EP0
FSCN1	Q16658
FTSJ3	Q8IY81
FUBP1	Q96AE4
FUBP3	Q96I24
FUS	P35637
FXR1	P51114
FXR2	P51116
G3BP1	Q13283
G3BP2	Q9UN86
GABARAPL2	P60520
GCA	P28676
GEMIN5	Q8TEQ6
GFPT1	Q06210
GIGYF1	O75420
GIGYF2	Q6Y7W6
GLE1	Q53GS7
GLO1	Q04760
GLRX3	O76003
GNB2	P62879
GOLGA2	Q08379
GPATCH8	Q9UKJ3
GPBP1	Q86WP2
GPBP1L1	Q9HC44
GRB2	P62993
GRSF1	Q12849
GSDMA	Q96QA5
GSPT1	P15170
GTPBP1	O00178
GTPBP4	Q9BZE4
H1F0	P07305
H1FX	Q92522
H2AFV	Q71UI9
H2AFY	O75367
HABP4	Q5JVS0
HAX1	O00165
HDAC6	Q9UBN7
HDLBP	Q00341
HECA	Q9UBI9
HELZ	P42694
HELZ2	Q9BYK8
HMGA1	P17096
HMGB3	O15347
HMGN1	P05114
HNRNPA1	P09651
HNRNPA2B1	P22626
HNRNPA3	P51991
HNRNPAB	Q99729
HNRNPC	P07910
HNRNPCL1	O60812
HNRNPD	Q14103
HNRNPDL	O14979
HNRNPF	P52597
HNRNPH1	P31943
HNRNPH2	P55795
HNRNPH3	P31942
HNRNPK	P61978
HNRNPL	P14866
HNRNPM	P52272
HNRNPR	O43390
HNRNPU	Q00839
HNRNPUL1	Q9BUJ2
HSP90AA1	P07900
HSPA2	P54652
HSPA4	P34932
HSPA9	P38646
HSPB1	P04792
HSPD1	P10809
HTT	P42858
IBTK	Q9P2D0
IFIH1	Q9BYX4
IGF2BP1	Q9NZI8
IGF2BP2	Q9Y6M1
IGF2BP3	O00425
IGHA1	P01876
IGLC2	P0DOY2
IK	Q13123
ILF2	Q12905
ILF3	Q12906
IPO7	O95373
IPO8	O15397
IPPK	Q9H8X2
ITGB1	P05556
JMJD1C	Q15652
KANK2	Q63ZY3
KARS	Q15046
KEAP1	Q14145
KHDRBS1	Q07666
KHDRBS3	O75525
KHSRP	Q92945
KIAA0232	Q92628
KIAA0355	O15063
KIAA0753	Q2KHM9
KIAA1671	Q9BY89
KIF13B	Q9NQT8
KIF1B	O60333
KIF1C	O43896
KIF23	Q02241
KIF7	Q2M1P5
KPNA1	P52294
KPNA2	P52292
KPNA3	O00505
KPNA6	O60684
KPNB1	Q14974
L1RE1	Q9UN81
LANCL1	O43813
LARP1	Q6PKG0
LARP1B	Q659C4
LARP4	Q71RC2
LARP4B	Q92615
LASP1	Q14847
LBR	Q14739
LEMD3	Q9Y2U8
LGALS7	P47929
LIG3	P49916
LIN28A	Q9H9Z2
LIN28B	Q6ZN17
LMNA	P02545
LMNB1	P20700
LMNB2	Q03252
LPP	Q93052
LSM1	O15116
LSM12	Q3MHD2
LSM14A	Q8ND56
LSM14B	Q9BX40
LSM2	Q9Y333
LSM3	P62310
LSM4	Q9Y4Z0
LSM5	Q9Y4Y9
LSM6	P62312
LSM7	Q9UK45
LUC7L	Q9NQ29
LUZP1	Q86V48
LYZ	P61626
LZTS2	Q9BRK4
MACF1	Q9UPN3
MACO1	Q8N5G2
MAGEA4	P43358
MAGED1	Q9Y5V3
MAGED2	Q9UNF1
