ABCF1	Q8NE71
ABRACL	Q9P1F3
ACAP1	Q15027
ACBD5	Q5T8D3
ACOT11	Q8WXI4
ACP7	Q6ZNF0
ACTB	P60709
ACTBL2	Q562R1
ACTG1	P63261
ACTR1A	P61163
ACTR1B	P42025
ACVR2B	Q13705
ADAR	P55265
ADCK5	Q3MIX3
ADD1	P35611
ADRB2	P07550
AGL	P35573
AGO1	Q9UL18
AGO2	Q9UKV8
AGO3	Q9H9G7
AGO4	Q9HCK5
AHSA1	O95433
AIFM1	O95831
AKAP13	Q12802
AKAP9	Q99996
ALB	P02768
ALDH18A1	P54886
ALDOA	P04075
ALDOB	P05062
ALG13	Q9NP73
ALMS1	Q8TCU4
ALYREF	Q86V81
ANG	P03950
ANKHD1	Q8IWZ3
ANKRD17	O75179
ANKRD52	Q8NB46
ANP32C	O43423
ANP32E	Q9BTT0
ANXA1	P04083
ANXA11	P50995
ANXA2	P07355
ANXA6	P08133
ANXA7	P20073
AP2A1	O95782
AP2A2	O94973
AP2B1	P63010
AP2M1	Q96CW1
APC	P25054
APEX1	P27695
APOA1	P02647
APOBEC3C	Q9NRW3
APOBEC3F	Q8IUX4
APOBEC3G	Q9HC16
APOE	P02649
AQR	O60306
ARG1	P05089
ARHGAP32	A7KAX9
ARHGEF4	Q9NR80
ARMC6	Q6NXE6
ARPC1B	O15143
ASCC1	Q8N9N2
ASCC3	Q8N3C0
ATAD2	Q6PL18
ATAD3A	Q9NVI7
ATG3	Q9NT62
ATP1A3	P13637
ATP2A1	O14983
ATP5F1A	P25705
ATP6V0E1	O15342
ATP6V1G1	O75348
ATP8B1	O43520
ATXN1L	P0C7T5
ATXN2	Q99700
ATXN2L	Q8WWM7
AZGP1	P25311
BAG3	O95817
BANF1	O75531
BAZ1B	Q9UIG0
BCCIP	Q9P287
BCLAF1	Q9NYF8
BDP1	A6H8Y1
BICC1	Q9H694
BMP2K	Q9NSY1
BMX	P51813
BOLL	Q8N9W6
BPNT1	O95861
BRAT1	Q6PJG6
BRIX1	Q8TDN6
BTG3	Q14201
BUB1	O43683
BYSL	Q13895
C19ORF66	Q9NUL5
C1QA	P02745
C1QBP	Q07021
C20ORF27	Q9GZN8
C2CD3	Q4AC94
CACNA1G	O43497
CALM1	P0DP23
CALM2	P0DP24
CALML5	Q9NZT1
CALR	P27797
CAMK2N1	Q7Z7J9
CAMK4	Q16566
CAMKK2	Q96RR4
CAP1	Q01518
CAPRIN1	Q14444
CAPZA2	P47755
CARF	Q8N187
CARHSP1	Q9Y2V2
CASC3	O15234
CASK	O14936
CBFB	Q13951
CBX1	P83916
CCAR1	Q8IX12
CCDC124	Q96CT7
CCDC138	Q96M89
CCDC85C	A6NKD9
CCDC9B	Q6ZUT6
CCHCR1	Q8TD31
CCL17	Q92583
CCL21	O00585
CCN1	O00622
CCP110	O43303
CCT3	P49368
CCT4	P50991
CCT6A	P40227
CD24	P25063
CDAN1	Q8IWY9
CDC14B	O60729
CDC14C	A4D256
CDC25C	P30307
CDC37	Q16543
CDC42SE2	Q9NRR3
CDC5L	Q99459
CDC7	O00311
CDC73	Q6P1J9
CDK1	P06493
CDK11B	P21127
CDK14	O94921
CDK19	Q9BWU1
CDK8	P49336
CDV3	Q9UKY7
CELF1	Q92879
CELF2	O95319
CELF3	Q5SZQ8
CENPB	P07199
CENPU	Q71F23
CEP131	Q9UPN4
CEP152	O94986
CEP192	Q8TEP8
CEP350	Q5VT06
CEP55	Q53EZ4
CEP78	Q5JTW2
CEP85	Q6P2H3
CFL1	P23528
CHAF1A	Q13111
CHAF1B	Q13112
CHCHD2	Q9Y6H1
CHCHD3	Q9NX63
CHD3	Q12873
CHIA	Q9BZP6
CHML	P26374
CHORDC1	Q9UHD1
CIP2A	Q8TCG1
CIRBP	Q14011
CIT	O14578
CKAP5	Q14008
CKMT1B	P12532
CLCN7	P51798
CLIC4	Q9Y696
CLNS1A	P54105
CLPP	Q16740
CLPX	O76031
CMAS	Q8NFW8
CNN3	Q15417
CNOT1	A5YKK6
CNOT10	Q9H9A5
CNOT11	Q9UKZ1
CNOT2	Q9NZN8
CNOT3	O75175
CNOT4	O95628
CNOT6	Q9ULM6
CNOT6L	Q96LI5
CNOT7	Q9UIV1
CNOT8	Q9UFF9
CNOT9	Q92600
CNTROB	Q8N137
COL1A1	P02452
COL9A2	Q14055
CORO1B	Q9BR76
CPEB1	Q9BZB8
CPEB4	Q17RY0
CPSF3	Q9UKF6
CPSF6	Q16630
CPSF7	Q8N684
CPVL	Q9H3G5
CREBBP	Q92793
CRKL	P46109
CROCC	Q5TZA2
CRYAB	P02511
CSDE1	O75534
CSE1L	P55060
CSNK1D	P48730
CSNK1G3	Q9Y6M4
CSNK2A1	P68400
CSNK2A2	P19784
CSPP1	Q1MSJ5
CSTB	P04080
CSTF1	Q05048
CTDSP1	Q9GZU7
CTDSP2	O14595
CTIF	O43310
CTNNA2	P26232
CTNND1	O60716
CTSC	P53634
CTTNBP2NL	Q9P2B4
CWC22	Q9HCG8
CYLD	Q9NQC7
DAP3	P51398
DARS2	Q6PI48
DAZAP1	Q96EP5
DAZAP2	Q15038
DAZL	Q92904
DBP	Q10586
DCAF1	Q9Y4B6
DCD	P81605
DCLK3	Q9C098
DCP1A	Q9NPI6
DCP1B	Q8IZD4
DCP2	Q8IU60
DCTN1	Q14203
DDR1	Q08345
DDX1	Q92499
DDX10	Q13206
DDX17	Q92841
DDX18	Q9NVP1
DDX19A	Q9NUU7
DDX20	Q9UHI6
DDX21	Q9NR30
DDX27	Q96GQ7
DDX3X	O00571
DDX3Y	O15523
DDX41	Q9UJV9
DDX47	Q9H0S4
DDX5	P17844
DDX50	Q9BQ39
DDX58	O95786
DDX6	P26196
DEF6	Q9H4E7
DGKB	Q9Y6T7
DHX15	O43143
DHX30	Q7L2E3
DHX33	Q9H6R0
DHX36	Q9H2U1
DHX57	Q6P158
DHX9	Q08211
DIS3L	Q8TF46
DIS3L2	Q8IYB7
DKC1	O60832
DMKN	Q6E0U4
DMPK	Q09013
DNAJA1	P31689
DNAJA2	O60884
DNAJC8	O75937
DPYSL2	Q16555
DPYSL3	Q14195
DRD3	P35462
DROSHA	Q9NRR4
DSC1	Q08554
DSG1	Q02413
DSP	P15924
DST	Q03001
DSTN	P60981
DTX3L	Q8TDB6
DUSP12	Q9UNI6
DUSP14	O95147
DUSP18	Q8NEJ0
DUSP26	Q9BV47
DUSP3	P51452
DUSP6	Q16828
DVL3	Q92997
DYNLL1	P63167
DYNLL2	Q96FJ2
DYRK1A	Q13627
DYRK2	Q92630
DYRK4	Q9NR20
DZIP1	Q86YF9
DZIP3	Q86Y13
ECPAS	Q5VYK3
EDC3	Q96F86
EDC4	Q6P2E9
EEF2	P13639
EFTUD2	Q15029
EIF1	P41567
EIF2A	Q9BY44
EIF2AK1	Q9BQI3
EIF2AK2	P19525
EIF2B1	Q14232
EIF2B4	Q9UI10
EIF2S1	P05198
EIF2S2	P20042
EIF2S3	P41091
EIF3A	Q14152
EIF3B	P55884
EIF3C	Q99613
EIF3D	O15371
EIF3E	P60228
EIF3F	O00303
EIF3G	O75821
EIF3H	O15372
EIF3I	Q13347
EIF3J	O75822
EIF3K	Q9UBQ5
EIF3L	Q9Y262
EIF3M	Q7L2H7
EIF4A1	P60842
EIF4A2	Q14240
EIF4A3	P38919
EIF4B	P23588
EIF4E	P06730
EIF4E2	O60573
EIF4E3	Q8N5X7
EIF4ENIF1	Q9NRA8
EIF4G1	Q04637
EIF4G2	P78344
EIF4G3	O43432
EIF4H	Q15056
EIF5	P55010
EIF5A	P63241
EIF5B	O60841
ELAVL1	Q15717
ELAVL2	Q12926
ELAVL3	Q14576
ELAVL4	P26378
ENDOV	Q8N8Q3
ENPP3	O14638
ENTPD1	P49961
ENTR1	Q96C92
EP300	Q09472
EPPK1	P58107
EPRS	P07814
ERP44	Q9BS26
ESRP2	Q9H6T0
ETF1	P62495
EWSR1	Q01844
EYA1	Q99502
FABP5	Q01469
FAM120A	Q9NZB2
FAM120C	Q9NX05
FAM168B	A1KXE4
FAM193A	P78312
FAM98A	Q8NCA5
FASTK	Q14296
FAU	P35544
FBL	P22087
FBRSL1	Q9HCM7
FBXO21	O94952
FEN1	P39748
FGF10	O15520
FGF23	Q9GZV9
FHL1	Q13642
FLI1	Q01543
FLNB	O75369
FMC1	Q96HJ9
FMR1	Q06787
FNDC3B	Q53EP0
FOLR2	P14207
FSCN1	Q16658
FTSJ3	Q8IY81
FUBP1	Q96AE4
FUBP3	Q96I24
FUS	P35637
FXR1	P51114
FXR2	P51116
FZD2	Q14332
FZD8	Q9H461
G3BP1	Q13283
G3BP2	Q9UN86
G6PC3	Q9BUM1
GABARAPL2	P60520
GBP1	P32455
GCA	P28676
GCN1	Q92616
GEMIN5	Q8TEQ6
GFPT1	Q06210
GIGYF1	O75420
GIGYF2	Q6Y7W6
GIPC1	O14908
GLE1	Q53GS7
GLO1	Q04760
GLRX3	O76003
GNB2	P62879
GNG12	Q9UBI6
GNPDA1	P46926
GOLGA2	Q08379
GPATCH8	Q9UKJ3
GPBP1	Q86WP2
GPBP1L1	Q9HC44
GPER1	Q99527
GPR101	Q96P66
GRB2	P62993
GRHPR	Q9UBQ7
